"2013-01-02 17:47:08.188932","99-7294_2013","Assigned to analyst"
"2013-01-03 13:00:03.445760","43-7415_2013","Assigned to analyst"
"2013-01-03 18:26:27.782408","43-7415_2013","Response"
"2013-01-05 21:29:56.838941","54-1131_2013","Assigned to analyst"
"2013-01-06 03:00:00.261430","99-7294_2013","Response"
"2013-01-07 00:18:43.564790","33-2197_2013","Assigned to analyst"
"2013-01-07 02:07:45.347360","33-2197_2013","Response"
"2013-01-07 03:16:01.859033","33-2197_2013","Response"
"2013-01-07 03:29:14.807534","33-2197_2013","Response"
"2013-01-07 09:35:00.062787","54-1131_2013","Response"
"2013-01-08 03:29:06.135730","54-1131_2013","Response"
"2013-01-08 22:28:42.645595","99-7294_2013","Response"
"2013-01-09 10:52:43.433612","54-1131_2013","Response"
"2013-01-11 10:42:46.711910","90-938_2013","Assigned to analyst"
"2013-01-11 16:23:52.217947","33-2197_2013","Close"
"2013-01-11 16:25:21.525941","97-5062_2013","Assigned to analyst"
"2013-01-11 22:34:28.476221","97-5062_2013","Response"
"2013-01-12 05:20:22.356629","97-5062_2013","Response"
"2013-01-12 06:42:22.333291","97-5062_2013","Response"
"2013-01-12 11:51:15.612667","97-5062_2013","Response"
"2013-01-12 22:31:52.744742","99-7294_2013","Response"
"2013-01-13 05:24:05.653848","90-938_2013","Response"
"2013-01-13 10:17:06.845818","90-938_2013","Response"
"2013-01-13 22:10:15.660050","97-5062_2013","Close"
"2013-01-13 23:25:47.946875","90-938_2013","Response"
"2013-01-14 02:47:32.139007","78-5944_2013","Assigned to analyst"
"2013-01-14 08:28:49.910273","54-1131_2013","Response"
"2013-01-14 17:49:13.020419","90-938_2013","Response"
"2013-01-14 22:39:11.881038","78-5944_2013","Response"
"2013-01-15 01:15:09.513829","78-5944_2013","Response"
"2013-01-15 09:23:03.743900","99-7294_2013","Response"
"2013-01-15 23:40:11.859145","54-1131_2013","Response"
"2013-01-16 00:02:41.686600","90-938_2013","Response"
"2013-01-16 21:13:29.392549","90-938_2013","Response"
"2013-01-17 07:27:28.154462","90-938_2013","Response"
"2013-01-17 18:41:38.115051","78-5944_2013","Response"
"2013-01-19 02:30:05.929266","99-7294_2013","Response"
"2013-01-19 10:16:26.800925","78-5944_2013","Response"
"2013-01-19 11:50:46.081550","43-7415_2013","Close"
"2013-01-19 15:21:02.464874","78-5944_2013","Response"
"2013-01-19 19:00:44.581566","90-938_2013","Response"
"2013-01-20 15:43:40.446366","14-2977_2013","Assigned to analyst"
"2013-01-20 17:26:02.446345","14-2977_2013","Response"
"2013-01-20 22:16:30.763268","14-2977_2013","Response"
"2013-01-21 01:17:58.391447","78-5944_2013","Response"
"2013-01-21 02:39:59.357668","14-2977_2013","Response"
"2013-01-21 03:44:50.814936","14-2977_2013","Response"
"2013-01-21 05:14:12.374028","90-938_2013","Response"
"2013-01-21 08:39:41.345951","14-2977_2013","Response"
"2013-01-21 11:03:33.934724","78-5944_2013","Response"
"2013-01-21 12:09:38.428639","14-2977_2013","Response"
"2013-01-21 13:54:39.595702","14-2977_2013","Response"
"2013-01-21 16:04:38.095023","78-5944_2013","Response"
"2013-01-21 17:15:45.803441","14-2977_2013","Response"
"2013-01-21 19:15:05.124866","14-2977_2013","Response"
"2013-01-21 20:39:41.001982","90-938_2013","Response"
"2013-01-21 20:47:08.191212","14-2977_2013","Response"
"2013-01-23 01:22:52.116697","78-5944_2013","Response"
"2013-01-23 22:21:05.711778","14-2977_2013","Close"
"2013-01-24 09:39:17.354251","24-2631_2013","Assigned to analyst"
"2013-01-24 10:53:36.085630","78-5944_2013","Response"
"2013-01-24 11:31:50.577543","24-2631_2013","Response"
"2013-02-02 05:55:35.664323","90-938_2013","Close"
"2013-02-02 16:27:16.948614","78-5944_2013","Close"
"2013-02-03 18:52:10.538462","24-2631_2013","Close"
"2013-02-04 06:36:18.567475","3-4860_2013","Assigned to analyst"
"2013-02-04 07:51:43.520193","93-8923_2013","Assigned to analyst"
"2013-02-04 09:54:09.283965","93-8923_2013","Response"
"2013-02-04 09:58:28.938114","93-8923_2013","Response"
"2013-02-04 11:58:43.418587","93-8923_2013","Response"
"2013-02-04 12:33:13.167647","93-8923_2013","Response"
"2013-02-09 06:54:20.381107","3-4860_2013","Response"
"2013-02-10 12:22:04.721007","93-8923_2013","Close"
"2013-02-12 00:45:47.730158","3-4860_2013","Response"
"2013-02-12 22:10:59.242927","3-4860_2013","Response"
"2013-02-13 11:34:35.292942","3-4860_2013","Response"
"2013-02-13 23:25:57.669779","75-9230_2013","Assigned to analyst"
"2013-02-14 00:45:13.078851","75-9230_2013","Response"
"2013-02-14 03:38:07.622341","75-9230_2013","Response"
"2013-02-14 03:43:58.668315","75-9230_2013","Response"
"2013-02-14 09:10:20.846280","3-4860_2013","Response"
"2013-02-18 20:26:08.849113","9-9871_2013","Assigned to analyst"
"2013-02-20 13:53:09.667271","9-9871_2013","Response"
"2013-02-21 05:01:58.172512","25-2179_2013","Assigned to analyst"
"2013-02-21 10:55:31.348087","9-9871_2013","Response"
"2013-02-22 13:50:28.675085","75-9230_2013","Close"
"2013-02-23 15:05:33.577244","72-5434_2013","Assigned to analyst"
"2013-02-24 14:23:49.088131","25-2179_2013","Response"
"2013-02-26 03:58:27.254569","25-2179_2013","Response"
"2013-02-28 06:53:09.421051","72-5434_2013","Response"
"2013-02-28 07:10:54.993055","72-5434_2013","Response"
"2013-02-28 14:24:38.685169","72-5434_2013","Response"
"2013-03-01 00:20:15.365397","46-9956_2013","Assigned to analyst"
"2013-03-01 02:59:58.315450","46-9956_2013","Response"
"2013-03-01 06:06:10.584557","46-9956_2013","Response"
"2013-03-01 08:55:14.483329","46-9956_2013","Response"
"2013-03-01 09:45:02.725679","46-9956_2013","Response"
"2013-03-01 13:43:33.207583","46-9956_2013","Response"
"2013-03-01 18:27:54.238094","46-9956_2013","Response"
"2013-03-01 23:09:12.313169","19-2372_2013","Assigned to analyst"
"2013-03-02 01:08:38.569229","46-9956_2013","Response"
"2013-03-02 04:37:05.171283","19-2372_2013","Response"
"2013-03-02 08:11:33.075643","19-2372_2013","Response"
"2013-03-02 08:33:43.289026","19-2372_2013","Response"
"2013-03-02 10:47:11.622301","19-2372_2013","Response"
"2013-03-02 18:54:42.128244","19-2372_2013","Response"
"2013-03-04 13:34:23.363023","72-5434_2013","Response"
"2013-03-05 11:44:28.741615","76-6639_2013","Assigned to analyst"
